internalTaxonId,scientificName,name,language,main
22706710,Lobotos lobatus,Western Wattled Cuckooshrike,English,TRUE
22708108,Picathartes gymnocephalus,Bare-headed Rockfowl,English,FALSE
22708108,Picathartes gymnocephalus,White-necked Picathartes,English,FALSE
22708108,Picathartes gymnocephalus,Yellow-headed Rockfowl,English,FALSE
22708108,Picathartes gymnocephalus,Cuervo Calvo de Cuello Blanco,Spanish; Castilian,FALSE
22708108,Picathartes gymnocephalus,Picatartes Cuelliblanco,Spanish; Castilian,FALSE
22708108,Picathartes gymnocephalus,Picatharte à cou blanc,French,FALSE
22708108,Picathartes gymnocephalus,Picatharte chauve,French,FALSE
22708108,Picathartes gymnocephalus,Picatharte de Guinée,French,FALSE
22708108,Picathartes gymnocephalus,White-necked Rockfowl,English,TRUE
22713069,Bleda eximius,Green-tailed Bristlebill,English,TRUE
22709095,Melaenornis annamarulae,Liberian Black-flycatcher,English,FALSE
22709095,Melaenornis annamarulae,West African Black-Flycatcher,English,FALSE
22709095,Melaenornis annamarulae,Gobemouche noir du Nimba,French,FALSE
22709095,Melaenornis annamarulae,Nimba Flycatcher,English,TRUE
103718860,Lanius giganteus,Giant Grey Shrike,English,TRUE
22685072,Polytelis swainsonii,Barraband Parakeet,English,FALSE
22685072,Polytelis swainsonii,Green Leek Parrot,English,FALSE
22685072,Polytelis swainsonii,Perico Soberbio,Spanish; Castilian,FALSE
22685072,Polytelis swainsonii,Superb Parrot,English,TRUE
22695010,Lophoictinia isura,Milano Colicuadrado,Spanish; Castilian,FALSE
22695010,Lophoictinia isura,Square-tailed Kite,English,TRUE
22678235,Crypturellus casiquiare,Barred Tinamou,English,TRUE
22678238,Crypturellus tataupa,Tataupa Tinamou,English,TRUE
22678883,Pternistis nobilis,Handsome Francolin,English,FALSE
22678883,Pternistis nobilis,Francolin noble,French,FALSE
22678883,Pternistis nobilis,Handsome Spurfowl,English,TRUE
22679017,Arborophila torqueola,Hill Partridge,English,TRUE
22679060,Arborophila rubrirostris,Red-billed Partridge,English,TRUE
22680115,Amazonetta brasiliensis,Brazilian Teal,English,TRUE
