internalTaxonId,scientificName,kingdomName,phylumName,className,orderName,familyName,genusName,speciesName,infraType,infraName,infraAuthority,subpopulationName,authority,taxonomicNotes
22717481,Dicaeum proprium,ANIMALIA,CHORDATA,AVES,PASSERIFORMES,DICAEIDAE,Dicaeum,proprium,,,,,"Ripley & Rabor, 1966",
22717831,Cinnyris ursulae,ANIMALIA,CHORDATA,AVES,PASSERIFORMES,NECTARINIIDAE,Cinnyris,ursulae,,,,,"(Alexander, 1903)","<p><em>Cinnyris ursulae </em>(del Hoyo and Collar 2016) was previously placed in the genus <em>Nectarinia </em>following Dowsett &amp; Forbes-Watson (1993); Sibley &amp; Monroe (1990, 1993).</p>  <p>&#160;</p>"
22720278,Crithagra melanochroa,ANIMALIA,CHORDATA,AVES,PASSERIFORMES,FRINGILLIDAE,Crithagra,melanochroa,,,,,"(Reichenow, 1900)","<p><em>Crithagra melanochroa</em> (del Hoyo and Collar 2016) was previously placed in the genus <em>Serinus</em> and listed as <em>S. melanochrous</em> following Sibley &amp; Monroe (1990, 1993).</p>"
22691061,Pampusana rubescens,ANIMALIA,CHORDATA,AVES,COLUMBIFORMES,COLUMBIDAE,Pampusana,rubescens,,,,,"(Vieillot, 1818)",Previously (del Hoyo and Collar 2014) placed in the genus <em>Alopecoenas</em> and before that in the genus <em>Gallicolumba</em> but transferred to <em>Pampusana </em>on the grounds of the latter’s priority (Bruce <em>et al. </em>2016).
103894787,Copsychus albiventris,ANIMALIA,CHORDATA,AVES,PASSERIFORMES,MUSCICAPIDAE,Copsychus,albiventris,,,,,"Blyth, 1859","<p>Previously listed as <em>Kittacincla albiventris</em> (del Hoyo and Collar 2016) but moved to <em>Copsychus </em>on the basis of unpublished genetic data (Per Alström, <em>in litt.</em> via WGAC) that support a broad <em>Copsychus</em>. <em>Kittacincla malabarica</em> and <em>K. albiventris</em> (del Hoyo and Collar 2016) were previously lumped as <em>Copsychus malabaricus</em>&#160;following AOU (1998 and supplements) and Collar (2004). Until recently considered conspecific with <em>C. malabaricus</em>, but differs in its black vs rufous lower breast (i.e. black extends much further down breast) (3); white vs rufous belly (3); shorter tail (Rasmussen and Anderton 2005) (allow 1); song phrases generally shorter with fewer notes (ns1), with lower mean minimum and lower maximum frequency (2) and always vs very rarely ending with low-frequency whistle (2) (Boesman 2016). Monotypic.</p>  <p>&#160;</p>"
22707002,Dicrurus andamanensis,ANIMALIA,CHORDATA,AVES,PASSERIFORMES,DICRURIDAE,Dicrurus,andamanensis,,,,,"Beavan, 1867",
22705852,Dendrocitta bayleii,ANIMALIA,CHORDATA,AVES,PASSERIFORMES,CORVIDAE,Dendrocitta,bayleii,,,,,"Blyth, 1863",<p><em>Dendrocitta bayleii </em>(del Hoyo and Collar 2016) was previously listed as <em>D. bayleyi</em>.</p>
22681379,Dryocopus hodgei,ANIMALIA,CHORDATA,AVES,PICIFORMES,PICIDAE,Dryocopus,hodgei,,,,,"(Blyth, 1860)",
22690112,Columba trocaz,ANIMALIA,CHORDATA,AVES,COLUMBIFORMES,COLUMBIDAE,Columba,trocaz,,,,,"Heineken, 1829",
22690152,Columba pollenii,ANIMALIA,CHORDATA,AVES,COLUMBIFORMES,COLUMBIDAE,Columba,pollenii,,,,,"Schlegel, 1866",
22691594,Alectroenas sganzini,ANIMALIA,CHORDATA,AVES,COLUMBIFORMES,COLUMBIDAE,Alectroenas,sganzini,,,,,"(Bonaparte, 1854)",
22734593,Fulvetta danisi,ANIMALIA,CHORDATA,AVES,PASSERIFORMES,PARADOXORNITHIDAE,Fulvetta,danisi,,,,,"(Delacour &amp; Greenway, 1941)",<p>The genus <em>Fulvetta</em> has been moved from the family Sylviidae to Paradoxornithidae following Cai<em> et al.</em> (2019).&#160;<em>Fulvetta danisi </em>(del Hoyo and Collar 2016) was previously listed as <em>Alcippe danisi</em>.&#160;Formerly treated as conspecific with <em>F. ruficapilla </em>(see related note/s). Two subspecies recognized.</p>
22733666,Geokichla dumasi,ANIMALIA,CHORDATA,AVES,PASSERIFORMES,TURDIDAE,Geokichla,dumasi,,,,,"(Rothschild, 1898)",<p><em>Geokichla dumasi </em>(del Hoyo and Collar 2016) was previously listed as <em>Zoothera dumasi</em>.</p>
22730062,Ninox sumbaensis,ANIMALIA,CHORDATA,AVES,STRIGIFORMES,STRIGIDAE,Ninox,sumbaensis,,,,,"Olsen, Wink, Sauer-Gurth & Trost, 2002",
22703937,Stresemannia bougainvillei,ANIMALIA,CHORDATA,AVES,PASSERIFORMES,MELIPHAGIDAE,Stresemannia,bougainvillei,,,,,"(Mayr, 1932)",
22706460,Sphecotheres viridis,ANIMALIA,CHORDATA,AVES,PASSERIFORMES,ORIOLIDAE,Sphecotheres,viridis,,,,,"Vieillot, 1816",
103811335,Foudia consobrina,ANIMALIA,CHORDATA,AVES,PASSERIFORMES,PLOCEIDAE,Foudia,consobrina,,,,,"Milne-Edwards &amp; Oustalet, 1885","<p><em>Foudia eminentissima</em>, <em>F. consobrina </em>and<em> F. aldabrana</em> (del Hoyo and Collar 2016) were previously lumped as <em>F. eminentissima </em>following Sibley &amp; Monroe (1990, 1993).</p>  <p>&#160;</p>"
103708917,Rhipidura kordensis,ANIMALIA,CHORDATA,AVES,PASSERIFORMES,RHIPIDURIDAE,Rhipidura,kordensis,,,,,"Meyer, 1874","<em>Rhipidura rufiventris, R. tenkatei, R. hoedti, R. bouruensis,   R. obiensis, R. cinerea, R. assimilis, R. kordensis</em> and <em>R. isura</em> (del Hoyo and Collar 2016)   were previously lumped as <em>R. rufiventris</em> following Christidis and Boles (2008) and Sibley and   Monroe (1990, 1993)."
22705565,Pachycephala tenebrosa,ANIMALIA,CHORDATA,AVES,PASSERIFORMES,PACHYCEPHALIDAE,Pachycephala,tenebrosa,,,,,"(Hartlaub &amp; Finsch, 1868)",
103758982,Sittiparus owstoni,ANIMALIA,CHORDATA,AVES,PASSERIFORMES,PARIDAE,Sittiparus,owstoni,,,,,"(Ijima, 1893)","<p><em>Sittiparus varius, S. owstoni, S. olivaceus </em>and<em> S. castaneoventris </em>(del Hoyo and Collar 2016) were previously lumped as <em>Parus varius</em> following Sibley and Monroe (1990, 1993).</p>"
22700340,Attila torridus,ANIMALIA,CHORDATA,AVES,PASSERIFORMES,TYRANNIDAE,Attila,torridus,,,,,"Sclater, 1860",
22713231,Hypsipetes borbonicus,ANIMALIA,CHORDATA,AVES,PASSERIFORMES,PYCNONOTIDAE,Hypsipetes,borbonicus,,,,,"(J.R. Forster, 1781)",
22691668,Ducula aurorae,ANIMALIA,CHORDATA,AVES,COLUMBIFORMES,COLUMBIDAE,Ducula,aurorae,,,,,"(Peale, 1848)",
103694300,Coracina dobsoni,ANIMALIA,CHORDATA,AVES,PASSERIFORMES,CAMPEPHAGIDAE,Coracina,dobsoni,,,,,"(Ball, 1872)","<p><em>Coracina striata, C. panayensis </em>and<em> C. dobsoni</em> (del Hoyo and Collar 2016) were previously lumped as <em>C. striata</em> following Sibley &amp; Monroe (1990, 1993).</p>  <p>&#160;</p>"
22710565,Aplonis brunneicapillus,ANIMALIA,CHORDATA,AVES,PASSERIFORMES,STURNIDAE,Aplonis,brunneicapillus,,,,,"(Danis, 1938)",
22723198,Incaspiza ortizi,ANIMALIA,CHORDATA,AVES,PASSERIFORMES,THRAUPIDAE,Incaspiza,ortizi,,,,,"Zimmer, 1952",
22685025,Psittrichas fulgidus,ANIMALIA,CHORDATA,AVES,PSITTACIFORMES,PSITTACIDAE,Psittrichas,fulgidus,,,,,"(Lesson, 1830)",
22736232,Automolus lammi,ANIMALIA,CHORDATA,AVES,PASSERIFORMES,FURNARIIDAE,Automolus,lammi,,,,,"(Zimmer, 1947)",
22698957,Hemitriccus kaempferi,ANIMALIA,CHORDATA,AVES,PASSERIFORMES,TYRANNIDAE,Hemitriccus,kaempferi,,,,,"(Zimmer, 1953)",
45421208,Pyrrhura leucotis,ANIMALIA,CHORDATA,AVES,PSITTACIFORMES,PSITTACIDAE,Pyrrhura,leucotis,,,,,"(Kuhl, 1820)","<em>Pyrrhura leucotis</em> and <em>P. emma</em> (del Hoyo and Collar 2014) were previously lumped as <em>P. leucotis</em>, under which <em>P. griseipectus</em> and <em>P. pfrimeri </em>were also formerly subsumed following (Sibley and Monroe 1990, 1993)."
22687791,Aglaeactis castelnaudii,ANIMALIA,CHORDATA,AVES,CAPRIMULGIFORMES,TROCHILIDAE,Aglaeactis,castelnaudii,,,,,"(Bourcier & Mulsant, 1848)",
22701577,Herpsilochmus pectoralis,ANIMALIA,CHORDATA,AVES,PASSERIFORMES,THAMNOPHILIDAE,Herpsilochmus,pectoralis,,,,,"Sclater, 1857",
