internalTaxonId,scientificName,kingdomName,phylumName,className,orderName,familyName,genusName,speciesName,infraType,infraName,infraAuthority,subpopulationName,authority,taxonomicNotes
22690445,Spilopelia senegalensis,ANIMALIA,CHORDATA,AVES,COLUMBIFORMES,COLUMBIDAE,Spilopelia,senegalensis,,,,,"(Linnaeus, 1766)",Spilopelia senegalensis (del Hoyo and Collar 2014) was previously placed in the genus Stigmatopelia.
22690488,Streptopelia capicola,ANIMALIA,CHORDATA,AVES,COLUMBIFORMES,COLUMBIDAE,Streptopelia,capicola,,,,,"(Sundevall, 1857)",
22690596,Reinwardtoena browni,ANIMALIA,CHORDATA,AVES,COLUMBIFORMES,COLUMBIDAE,Reinwardtoena,browni,,,,,"(Sclater, 1877)",Similar plumage patterns of present species and R. reinwardti suggest they are quite closely related. Birds of Admiralty Is sometimes separated as subspecies solitaria; those of Umboi may represent another distinct subspecies. Monotypic.
22691549,Ptilinopus insolitus,ANIMALIA,CHORDATA,AVES,COLUMBIFORMES,COLUMBIDAE,Ptilinopus,insolitus,,,,,"(Schlegel, 1863)",
22692900,Tribonyx mortierii,ANIMALIA,CHORDATA,AVES,GRUIFORMES,RALLIDAE,Tribonyx,mortierii,,,,,"Du Bus, 1840",Tribonyx mortierii (del Hoyo and Collar 2014) was previously placed in the genus Gallinula.
22692990,Pterocles exustus,ANIMALIA,CHORDATA,AVES,PTEROCLIFORMES,PTEROCLIDAE,Pterocles,exustus,,,,,"Temminck, 1825",
22694629,Sterna paradisaea,ANIMALIA,CHORDATA,AVES,CHARADRIIFORMES,LARIDAE,Sterna,paradisaea,,,,,"Pontoppidan, 1763",
22694847,Uria lomvia,ANIMALIA,CHORDATA,AVES,CHARADRIIFORMES,ALCIDAE,Uria,lomvia,,,,,"(Linnaeus, 1758)",
22696264,Phalcoboenus chimango,ANIMALIA,CHORDATA,AVES,FALCONIFORMES,FALCONIDAE,Phalcoboenus,chimango,,,,,"(Vieillot, 1816)",Phalcoboenus chimango (del Hoyo and Collar 2014) was previously placed in the genus Milvago.
22696606,Podiceps auritus,ANIMALIA,CHORDATA,AVES,PODICIPEDIFORMES,PODICIPEDIDAE,Podiceps,auritus,,,,,"(Linnaeus, 1758)",
22697203,Nyctanassa violacea,ANIMALIA,CHORDATA,AVES,PELECANIFORMES,ARDEIDAE,Nyctanassa,violacea,,,,,"(Linnaeus, 1758)",
22697365,Phoenicopterus chilensis,ANIMALIA,CHORDATA,AVES,PHOENICOPTERIFORMES,PHOENICOPTERIDAE,Phoenicopterus,chilensis,,,,,"Molina, 1782",
22697510,Threskiornis aethiopicus,ANIMALIA,CHORDATA,AVES,PELECANIFORMES,THRESKIORNITHIDAE,Threskiornis,aethiopicus,,,,,"(Latham, 1790)",
22697548,Nipponia nippon,ANIMALIA,CHORDATA,AVES,PELECANIFORMES,THRESKIORNITHIDAE,Nipponia,nippon,,,,,"(Temminck, 1835)",
22699992,Myiotheretes pernix,ANIMALIA,CHORDATA,AVES,PASSERIFORMES,TYRANNIDAE,Myiotheretes,pernix,,,,,"(Bangs, 1899)",
22700605,Pitangus sulphuratus,ANIMALIA,CHORDATA,AVES,PASSERIFORMES,TYRANNIDAE,Pitangus,sulphuratus,,,,,"(Linnaeus, 1766)",
22701795,Myrmoderus ruficauda,ANIMALIA,CHORDATA,AVES,PASSERIFORMES,THAMNOPHILIDAE,Myrmoderus,ruficauda,,,,,"(Wied, 1831)",Myrmoderus ruficauda (del Hoyo and Collar 2016) was previously listed as Myrmeciza ruficauda.  
22701859,Pithys castaneus,ANIMALIA,CHORDATA,AVES,PASSERIFORMES,THAMNOPHILIDAE,Pithys,castaneus,,,,,"Berlioz, 1938",
22703527,Scytalopus speluncae,ANIMALIA,CHORDATA,AVES,PASSERIFORMES,RHINOCRYPTIDAE,Scytalopus,speluncae,,,,,"(Ménétries, 1835)","The redefining of members of this genus in Brazilian uplands is based on comprehensive recent work and analysis of genetic population structure (Mata et al. 2009): the old “S. speluncae complex” is now considered to form three clades, centered respectively on S. novacapitalis, present species, and S. iraiensis, although last two may be linked (Maurício et al. 2014); present species shares clade with S. gonzagai. Taxonomy of whole group of E Brazilian tapaculo species is confused by an apparently adaptational cline, from dark grey phenotypes with few or no barred feathers (at least in adult males) in coastal mountains to pale grey birds with heavily barred flanks in inland parts; further research required. Nomenclature disputed (see S. petrophilus). Monotypic."
22703605,Menura novaehollandiae,ANIMALIA,CHORDATA,AVES,PASSERIFORMES,MENURIDAE,Menura,novaehollandiae,,,,,"Latham, 1801",
22704256,Vosea whitemanensis,ANIMALIA,CHORDATA,AVES,PASSERIFORMES,MELIPHAGIDAE,Vosea,whitemanensis,,,,,"(Gilliard, 1960)",Vosea whitemanensis (del Hoyo and Collar 2016) was previously listed as Melidectes whitemanensis.
22704264,Melionyx princeps,ANIMALIA,CHORDATA,AVES,PASSERIFORMES,MELIPHAGIDAE,Melionyx,princeps,,,,,"(Mayr &amp; Gilliard, 1951)","Previously placed in Melidectes, now separated with M. fuscus and M. nouhuysi in Melionyx, following Andersen et al. (2019) who confirmed a paraphyletic circumstance in Melidectes reported in an earlier study in which the three species above occupy a separate clade; they are also vocally and morphologically distinct, with sooty plumage lacking green wings and tail. The authors propose reviving the genus Melionyx (mentioned in the Checklist genus account for Melidectes) for these three species, and this is accepted here. The three comprise a group of medium-sized species that differ from other current congeners in size, morphology, plumage and voice. Monotypic."
22704433,Manorina melanocephala,ANIMALIA,CHORDATA,AVES,PASSERIFORMES,MELIPHAGIDAE,Manorina,melanocephala,,,,,"(Latham, 1801)",
22707172,Pomarea dimidiata,ANIMALIA,CHORDATA,AVES,PASSERIFORMES,MONARCHIDAE,Pomarea,dimidiata,,,,,"(Hartlaub & Finsch, 1871)",
22708188,Neocossyphus rufus,ANIMALIA,CHORDATA,AVES,PASSERIFORMES,TURDIDAE,Neocossyphus,rufus,,,,,"(Fischer & Reichenow, 1884)",
