assessmentId,internalTaxonId,scientificName,kingdomName,phylumName,orderName,className,familyName,genusName,speciesName,infraType,infraName,infraAuthority,authority,redlistCategory,redlistCriteria,criteriaVersion,populationTrend,scopes
217380552,22687362,Chlorostilbon poortmani,ANIMALIA,CHORDATA,CAPRIMULGIFORMES,AVES,TROCHILIDAE,Chlorostilbon,poortmani,,,,"(Bourcier, 1843)",Least Concern,,3.1,Stable,Global
217380819,22687359,Chlorostilbon alice,ANIMALIA,CHORDATA,CAPRIMULGIFORMES,AVES,TROCHILIDAE,Chlorostilbon,alice,,,,"(Bourcier &amp; Mulsant, 1848)",Least Concern,,3.1,Stable,Global
217388624,216710576,Pitta concinna,ANIMALIA,CHORDATA,PASSERIFORMES,AVES,PITTIDAE,Pitta,concinna,,,,"Gould, 1857",Least Concern,,3.1,Decreasing,Global
217398758,22683387,Todiramphus funebris,ANIMALIA,CHORDATA,CORACIIFORMES,AVES,ALCEDINIDAE,Todiramphus,funebris,,,,"Bonaparte, 1850",Least Concern,,3.1,Decreasing,Global
217423940,216915934,Dicaeum sanguinolentum,ANIMALIA,CHORDATA,PASSERIFORMES,AVES,DICAEIDAE,Dicaeum,sanguinolentum,,,,"Temminck, 1829",Least Concern,,3.1,Stable,Global
217427894,216915953,Dicaeum rhodopygiale,ANIMALIA,CHORDATA,PASSERIFORMES,AVES,DICAEIDAE,Dicaeum,rhodopygiale,,,,"Rensch, 1928",Least Concern,,3.1,Stable,Global
217433009,22689993,Caprimulgus concretus,ANIMALIA,CHORDATA,CAPRIMULGIFORMES,AVES,CAPRIMULGIDAE,Caprimulgus,concretus,,,,"Bonaparte, 1850",Vulnerable,A2c+3c+4c,3.1,Decreasing,Global
217433557,216917259,Rhynchospiza strigiceps,ANIMALIA,CHORDATA,PASSERIFORMES,AVES,PASSERELLIDAE,Rhynchospiza,strigiceps,,,,"(Gould, 1839)",Least Concern,,3.1,Stable,Global
217433590,216917355,Rhynchospiza dabbenei,ANIMALIA,CHORDATA,PASSERIFORMES,AVES,PASSERELLIDAE,Rhynchospiza,dabbenei,,,,"(Hellmayr, 1912)",Least Concern,,3.1,Stable,Global
217433750,22706160,Drepanornis bruijnii,ANIMALIA,CHORDATA,PASSERIFORMES,AVES,PARADISAEIDAE,Drepanornis,bruijnii,,,,"Oustalet, 1880",Least Concern,,3.1,Decreasing,Global
217437075,22706257,Paradisaea decora,ANIMALIA,CHORDATA,PASSERIFORMES,AVES,PARADISAEIDAE,Paradisaea,decora,,,,"Salvin & Godman, 1883",Vulnerable,C2a(i); D1,3.1,Decreasing,Global
217442333,22706261,Paradisaea guilielmi,ANIMALIA,CHORDATA,PASSERIFORMES,AVES,PARADISAEIDAE,Paradisaea,guilielmi,,,,"Cabanis, 1888",Near Threatened,"B1b(ii,iii)",3.1,Decreasing,Global
217444568,22706145,Paradigalla carunculata,ANIMALIA,CHORDATA,PASSERIFORMES,AVES,PARADISAEIDAE,Paradigalla,carunculata,,,,"Lesson, 1835",Near Threatened,B1b(iii),3.1,Decreasing,Global
217469412,22706218,Astrapia mayeri,ANIMALIA,CHORDATA,PASSERIFORMES,AVES,PARADISAEIDAE,Astrapia,mayeri,,,,"Stonor, 1939",Least Concern,,3.1,Decreasing,Global
217473610,216558962,Eugenes fulgens,ANIMALIA,CHORDATA,CAPRIMULGIFORMES,AVES,TROCHILIDAE,Eugenes,fulgens,,,,"(Swainson, 1827)",Least Concern,,3.1,Stable,Global
217498432,22706241,Paradisaea rubra,ANIMALIA,CHORDATA,PASSERIFORMES,AVES,PARADISAEIDAE,Paradisaea,rubra,,,,"Daudin, 1800",Near Threatened,"B1b(ii,iii)",3.1,Decreasing,Global
217500213,22704880,Gennaeodryas placens,ANIMALIA,CHORDATA,PASSERIFORMES,AVES,PETROICIDAE,Gennaeodryas,placens,,,,"(Ramsay, 1879)",Least Concern,,3.1,Decreasing,Global
